age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
67,4.14,2.5,0.5,3.86,1.62,6.33,0.5,1.5,5.5,9.5,4.1,0.39,3.63,0.51,1.14
68,3.9,2.5,0.5,3.64,1.66,6.62,0.5,1.5,5.5,8.5,3.87,0.37,3.47,0.43,1.12
69,3.68,2.5,0.5,3.44,1.7,6.89,0.5,1.5,5.5,8.5,3.65,0.36,3.32,0.36,1.11
70,3.47,2.5,0.5,3.25,1.73,7.15,0.5,1.5,4.5,7.5,3.43,0.41,3.18,0.29,1.09
71,3.29,2.5,0.5,3.08,1.76,7.38,0.5,0.5,4.5,7.5,3.24,0.48,3.05,0.24,1.08
72,3.11,2.5,0.5,2.91,1.78,7.58,0.5,0.5,4.5,7.5,3.09,0.55,2.92,0.19,1.07
73,2.96,2.5,0.5,2.76,1.8,7.74,0.5,0.5,4.5,6.5,2.97,0.55,2.81,0.15,1.05
74,2.82,2.5,0.5,2.63,1.82,7.86,0.5,0.5,3.5,6.5,2.74,0.55,2.7,0.12,1.04
75,2.69,1.5,0.5,2.5,1.83,7.94,0.5,0.5,3.5,6.5,2.61,0.51,2.59,0.09,1.04
76,2.57,1.5,0.5,2.39,1.84,7.98,0.5,0.5,3.5,5.5,2.52,0.56,2.5,0.07,1.03
77,2.46,1.5,0.5,2.28,1.84,7.97,0.5,0.5,3.5,5.5,2.55,0.66,2.4,0.05,1.02
78,2.36,1.5,0.5,2.19,1.84,7.92,0.5,0.5,3.5,5.5,2.38,0.6,2.32,0.04,1.02
79,2.26,1.5,0.5,2.1,1.84,7.84,0.5,0.5,3.5,5.5,2.27,0.1,2.23,0.03,1.01
80,2.18,1.5,0.5,2.01,1.83,7.74,0.5,0.5,3.5,4.5,2.19,0.09,2.15,0.03,1.01
81,2.1,1.5,0.5,1.94,1.82,7.64,0.5,0.5,2.5,4.5,2.1,0.1,2.08,0.02,1.01
82,2.02,1.5,0.5,1.86,1.81,7.53,0.5,0.5,2.5,4.5,2.01,0.09,2.01,0.02,1.01
83,1.95,1.5,0.5,1.79,1.8,7.44,0.5,0.5,2.5,4.5,1.94,0.09,1.94,0.02,1.01
84,1.88,1.5,0.5,1.72,1.8,7.37,0.5,0.5,2.5,4.5,1.87,0.08,1.87,0.01,1.01
85,1.81,1.5,0.5,1.65,1.79,7.33,0.5,0.5,2.5,4.5,1.79,0.08,1.8,0.01,1.01
86,1.74,1.5,0.5,1.58,1.8,7.31,0.5,0.5,2.5,3.5,1.74,0.09,1.74,0.01,1.0
87,1.68,1.5,0.5,1.52,1.8,7.3,0.5,0.5,2.5,3.5,1.69,0.08,1.67,0.01,1.0
88,1.62,1.5,0.5,1.46,1.81,7.31,0.5,0.5,2.5,3.5,1.62,0.07,1.61,0.0,1.0
89,1.55,1.5,0.5,1.39,1.82,7.34,0.5,0.5,2.5,3.5,1.55,0.07,1.55,0.0,1.0
90,1.49,1.5,0.5,1.34,1.83,7.39,0.5,0.5,2.5,3.5,1.49,0.06,1.49,0.0,1.0
