age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
74,3.15,2.5,0.5,3.1,1.94,8.09,0.5,0.5,4.5,7.5,3.19,0.24,2.75,0.39,1.14
75,2.95,2.5,0.5,2.91,1.98,8.44,0.5,0.5,4.5,6.5,3.0,0.27,2.62,0.33,1.13
76,2.78,1.5,0.5,2.73,2.01,8.75,0.5,0.5,3.5,6.5,2.82,0.3,2.5,0.27,1.11
77,2.61,1.5,0.5,2.55,2.04,9.02,0.5,0.5,3.5,5.5,2.67,0.32,2.39,0.22,1.09
78,2.46,1.5,0.5,2.4,2.06,9.25,0.5,0.5,3.5,5.5,2.49,0.34,2.28,0.18,1.08
79,2.33,1.5,0.5,2.25,2.07,9.42,0.5,0.5,3.5,5.5,2.33,0.09,2.18,0.15,1.07
80,2.2,1.5,0.5,2.12,2.07,9.52,0.5,0.5,3.5,4.5,2.21,0.09,2.09,0.12,1.06
81,2.09,1.5,0.5,1.99,2.07,9.56,0.5,0.5,2.5,4.5,2.09,0.08,2.0,0.09,1.05
82,1.98,1.5,0.5,1.88,2.06,9.54,0.5,0.5,2.5,4.5,1.99,0.08,1.91,0.07,1.04
83,1.89,1.5,0.5,1.78,2.05,9.46,0.5,0.5,2.5,4.5,1.89,0.08,1.83,0.06,1.03
84,1.8,1.5,0.5,1.69,2.04,9.34,0.5,0.5,2.5,3.5,1.79,0.07,1.76,0.04,1.03
85,1.72,1.5,0.5,1.6,2.02,9.18,0.5,0.5,2.5,3.5,1.72,0.08,1.69,0.03,1.02
86,1.65,1.5,0.5,1.52,2.0,9.02,0.5,0.5,2.5,3.5,1.65,0.07,1.62,0.03,1.02
87,1.58,1.5,0.5,1.45,1.99,8.85,0.5,0.5,2.5,3.5,1.57,0.07,1.56,0.02,1.01
88,1.51,1.5,0.5,1.38,1.97,8.7,0.5,0.5,2.5,3.5,1.52,0.06,1.5,0.02,1.01
89,1.45,0.5,0.5,1.31,1.97,8.59,0.5,0.5,1.5,3.5,1.45,0.06,1.44,0.01,1.01
90,1.39,0.5,0.5,1.25,1.97,8.52,0.5,0.5,1.5,3.5,1.39,0.06,1.38,0.01,1.01
