time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.81,18.31,7.35,0.00,0.73,2.70,2.08,26.8,2.04,3.58
Food Cooking & Clean-up,3.70,18.40,9.71,0.00,1.52,3.63,2.07,53.5,2.97,4.42
"Pets, Home & Vehicles",8.63,20.06,24.72,0.00,2.30,7.94,6.21,46.7,7.08,10.17
Household Management,1.43,24.72,5.06,0.00,0.41,1.16,0.89,21.8,1.03,1.83
Shopping,2.84,18.13,7.34,0.00,1.31,0.12,1.43,40.0,2.07,3.60
Obtaining Services,0.30,21.87,0.93,0.00,0.04,0.16,0.13,6.3,0.15,0.45
Travel for Household Activity,2.25,24.75,7.95,0.00,0.89,0.02,1.28,44.9,1.79,2.71
Household Production,21.94,20.12,63.06,0.00,7.20,15.73,14.09,86.9,19.82,24.06
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.33,17.91,0.83,0.00,0.27,0.10,0.05,9.1,0.18,0.47
Non-Household Members,1.07,18.09,2.77,0.00,0.71,0.30,0.13,11.2,0.66,1.49
Travel for Household Members,0.31,24.75,1.09,0.00,0.19,0.00,0.11,6.9,0.15,0.47
Travel for Non-Household Members,0.50,24.75,1.77,0.00,0.33,0.01,0.15,9.8,0.30,0.70
Caring and Helping,2.21,20.51,6.47,0.00,1.50,0.41,0.44,18.5,1.59,2.82
Eating & Drinking,7.98,18.25,20.80,0.00,5.58,5.89,1.82,97.2,7.38,8.58
Personal Health Care,0.88,17.95,2.25,0.00,0.35,0.33,0.31,8.9,0.18,1.58
Grooming,3.48,18.17,9.03,0.00,,,,69.2,3.07,3.88
Sleeping,59.39,18.58,157.64,,,,,99.8,58.04,60.74
"Private, Personal, or N/A",5.29,20.56,15.52,0.00,0.78,3.36,3.56,35.1,3.90,6.67
Personal Time,77.01,18.66,205.24,0.00,6.71,9.58,5.69,99.8,75.17,78.85
Socializing,4.59,20.35,13.35,0.01,3.51,2.52,0.26,38.5,3.64,5.55
Passive Leisure,36.71,17.40,91.24,0.01,19.03,35.19,17.11,94.5,33.33,40.09
Active Leisure,2.30,17.40,5.72,0.00,0.61,0.47,1.18,20.6,1.73,2.88
Attendance Leisure,0.72,17.40,1.79,0.00,0.46,0.08,0.07,3.3,0.25,1.19
Religious Activities,0.76,23.41,2.53,0.00,0.47,0.11,0.24,5.6,0.44,1.07
Volunteering,0.40,23.41,1.34,0.00,0.10,0.07,0.12,2.9,0.11,0.70
Travel Related to Leisure,2.64,24.75,9.33,0.00,1.39,0.02,1.14,38.6,1.96,3.31
Leisure,48.12,18.23,125.30,0.02,25.57,38.47,20.11,98.4,45.16,51.08
Working at Job,15.81,27.61,62.36,0.00,0.80,3.05,5.17,29.0,12.80,18.82
Educational Activities,0.99,23.41,3.32,0.00,0.02,0.65,0.64,3.0,,2.28
Commuting to Work or School,1.91,24.75,6.76,0.00,0.18,0.02,1.63,26.3,1.31,2.51
Work and Education,18.72,27.09,72.44,0.00,1.00,3.72,7.43,35.4,15.66,21.78
Total,168.00,19.69,472.51,0.03,41.99,67.92,47.76,,,
