time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.95,18.31,7.71,1.87,1.78,2.79,1.17,32.4,1.86,4.04
Food Cooking & Clean-up,3.31,18.40,8.70,2.45,1.84,3.31,1.43,48.8,2.25,4.37
"Pets, Home & Vehicles",3.05,20.06,8.75,1.38,0.93,3.01,2.04,22.8,1.99,4.12
Household Management,0.82,24.72,2.89,0.64,0.72,0.28,0.10,16.7,0.26,1.37
Shopping,2.29,18.13,5.94,1.64,1.95,0.20,0.25,37.4,1.48,3.11
Obtaining Services,0.12,21.87,0.38,0.10,0.06,0.12,0.02,1.5,,0.25
Travel for Household Activity,1.91,24.75,6.76,1.19,1.57,0.05,0.29,39.6,1.15,2.67
Household Production,14.46,19.92,41.13,9.26,8.84,9.76,5.30,78.1,12.08,16.83
Household Children,11.24,18.05,28.98,,11.14,9.59,0.01,72.3,9.41,13.06
Household Adults,0.64,17.91,1.65,0.19,0.64,0.05,0.01,8.8,,1.47
Non-Household Members,0.57,18.09,1.48,0.12,0.26,0.00,0.06,6.8,0.14,1.00
Travel for Household Members,1.34,24.75,4.75,0.16,0.96,0.02,0.34,27.4,0.85,1.83
Travel for Non-Household Members,0.24,24.75,0.84,0.08,0.11,0.00,0.10,7.0,0.10,0.38
Caring and Helping,14.03,18.80,37.70,0.55,13.11,9.66,0.51,75.3,11.79,16.28
Eating & Drinking,7.95,18.25,20.72,4.49,5.68,4.72,0.95,95.3,6.78,9.12
Personal Health Care,0.63,17.95,1.63,0.06,0.03,0.00,0.51,2.9,,1.65
Grooming,3.52,18.17,9.13,1.26,,,,78.2,3.09,3.95
Sleeping,60.18,18.58,159.72,,,,,99.7,57.54,62.81
"Private, Personal, or N/A",2.16,20.56,6.34,0.98,0.91,1.01,0.75,25.6,1.17,3.14
Personal Time,74.44,18.58,197.54,6.80,6.62,5.74,2.22,100.0,71.71,77.16
Socializing,5.05,20.35,14.69,3.02,4.41,2.60,0.15,43.0,3.79,6.31
Passive Leisure,21.61,17.40,53.71,11.47,16.01,20.32,4.82,86.7,18.50,24.72
Active Leisure,1.23,17.40,3.06,0.83,0.96,0.16,0.18,11.6,0.66,1.80
Attendance Leisure,0.62,17.40,1.54,0.28,0.56,0.00,0.00,3.5,0.09,1.15
Religious Activities,0.85,23.41,2.83,0.60,0.69,0.31,0.10,9.2,0.44,1.25
Volunteering,0.68,23.41,2.27,0.43,0.45,0.01,0.09,3.7,0.16,1.20
Travel Related to Leisure,2.21,24.75,7.81,1.00,1.55,0.03,0.55,46.4,1.68,2.74
Leisure,32.25,18.65,85.91,17.64,24.63,23.44,5.89,98.1,28.84,35.66
Working at Job,27.23,19.37,75.34,1.05,0.97,2.60,2.43,56.6,22.83,31.63
Educational Activities,2.34,23.41,7.84,0.21,0.23,0.53,0.72,5.3,0.67,4.01
Commuting to Work or School,3.25,24.75,11.50,0.11,0.20,0.03,2.55,53.0,2.47,4.03
Work and Education,32.82,20.19,94.67,1.38,1.39,3.16,5.70,62.1,27.78,37.87
Total,168.00,19.04,456.95,35.62,54.60,51.76,19.62,,,
