time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,7.07,18.31,18.48,0.00,0.18,6.91,6.78,58.9,6.83,7.30
Food Cooking & Clean-up,5.05,18.40,13.26,0.01,0.35,4.86,4.59,72.7,4.90,5.19
"Pets, Home & Vehicles",3.57,20.06,10.22,0.00,0.15,3.26,3.34,36.4,3.39,3.74
Household Management,2.55,24.72,9.00,0.00,0.12,2.30,2.30,37.8,2.43,2.67
Shopping,2.81,18.13,7.27,0.00,0.53,0.12,1.83,37.3,2.67,2.94
Obtaining Services,0.25,21.87,0.79,0.00,0.02,0.17,0.12,5.0,0.22,0.28
Travel for Household Activity,1.87,24.75,6.63,0.00,0.33,0.04,1.32,41.5,1.81,1.94
Household Production,23.16,19.84,65.64,0.02,1.69,17.65,20.28,92.8,22.78,23.53
Household Children,0.01,18.05,0.04,,0.01,0.01,0.00,0.1,0.01,0.02
Household Adults,0.01,17.91,0.02,0.00,0.00,0.01,0.00,0.2,,0.02
Non-Household Members,1.62,18.09,4.17,0.00,1.11,0.61,0.25,15.3,1.44,1.79
Travel for Household Members,0.01,24.75,0.03,0.00,0.01,0.00,0.00,0.1,,0.02
Travel for Non-Household Members,0.48,24.75,1.71,0.00,0.16,0.01,0.23,11.2,0.43,0.54
Caring and Helping,2.13,19.63,5.98,0.00,1.30,0.64,0.48,15.6,1.96,2.30
Eating & Drinking,8.26,18.25,21.53,0.00,1.19,6.36,5.62,97.5,8.07,8.45
Personal Health Care,2.31,17.95,5.91,0.00,0.24,1.32,1.66,27.7,2.13,2.48
Grooming,5.30,18.17,13.75,0.00,,,,78.9,5.17,5.43
Sleeping,63.21,18.58,167.77,,,,,99.9,62.94,63.48
"Private, Personal, or N/A",2.87,20.56,8.43,0.00,0.20,1.02,1.30,34.2,2.74,3.00
Personal Time,81.94,18.57,217.40,0.01,1.63,8.69,8.57,100.0,81.61,82.28
Socializing,6.70,20.35,19.48,0.01,2.78,3.72,1.72,53.1,6.45,6.95
Passive Leisure,45.41,17.40,112.87,0.02,1.73,43.76,42.07,97.4,44.53,46.29
Active Leisure,1.41,17.40,3.50,0.00,0.13,0.45,0.82,17.4,1.31,1.50
Attendance Leisure,0.63,17.40,1.56,0.00,0.14,0.06,0.16,3.9,0.53,0.73
Religious Activities,2.01,23.41,6.73,0.00,0.26,0.87,1.18,18.6,1.85,2.18
Volunteering,1.69,23.41,5.65,0.00,0.08,0.66,0.82,9.5,1.46,1.92
Travel Related to Leisure,2.40,24.75,8.49,0.00,0.55,0.05,1.28,44.4,2.14,2.66
Leisure,60.25,18.39,158.28,0.03,5.66,49.57,48.05,99.3,59.83,60.68
Working at Job,0.43,16.08,0.99,0.00,0.01,0.12,0.14,1.4,0.33,0.53
Educational Activities,0.03,23.41,0.10,0.00,0.00,0.02,0.03,0.2,0.01,0.05
Commuting to Work or School,0.05,24.75,0.18,0.00,0.00,0.00,0.04,1.5,0.04,0.06
Work and Education,0.51,17.39,1.27,0.00,0.01,0.14,0.21,2.2,0.40,0.63
Total,168.00,18.69,448.58,0.05,10.29,76.69,77.60,,,
