time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,3.01,18.31,7.86,0.00,0.04,2.93,2.93,34.1,2.76,3.25
Food Cooking & Clean-up,3.68,18.40,9.67,0.00,0.07,3.59,3.50,62.2,3.50,3.86
"Pets, Home & Vehicles",5.85,20.06,16.76,0.00,0.18,5.29,5.42,36.9,5.18,6.52
Household Management,1.80,24.72,6.36,0.00,0.04,1.51,1.63,29.8,1.64,1.96
Shopping,2.32,18.13,6.01,0.00,0.16,0.16,1.84,38.9,2.13,2.50
Obtaining Services,0.27,21.87,0.83,0.00,0.01,0.15,0.11,4.1,0.19,0.35
Travel for Household Activity,2.13,24.75,7.54,0.00,0.15,0.04,1.79,44.0,1.98,2.29
Household Production,19.05,20.22,55.03,0.01,0.65,13.68,17.21,86.8,18.42,19.69
Household Children,0.01,18.05,0.02,,0.01,0.01,0.00,0.1,,0.02
Household Adults,0.01,17.91,0.02,0.00,0.00,0.00,0.00,0.2,,0.02
Non-Household Members,1.07,18.09,2.76,0.00,0.48,0.18,0.25,11.8,0.88,1.26
Travel for Household Members,0.01,24.75,0.03,0.00,0.00,0.00,0.00,0.2,,0.02
Travel for Non-Household Members,0.51,24.75,1.80,0.00,0.12,0.01,0.27,9.7,0.42,0.60
Caring and Helping,1.60,20.25,4.64,0.00,0.61,0.20,0.52,12.0,1.36,1.85
Eating & Drinking,8.37,18.25,21.82,0.00,0.69,5.88,6.02,96.6,8.11,8.63
Personal Health Care,1.62,17.95,4.15,0.00,0.09,0.93,1.21,19.3,1.36,1.88
Grooming,3.25,18.17,8.44,0.00,,,,63.0,3.09,3.41
Sleeping,63.25,18.58,167.87,,,,,99.9,62.66,63.84
"Private, Personal, or N/A",2.22,20.56,6.52,0.00,0.07,0.75,1.09,26.0,2.04,2.40
Personal Time,78.71,18.57,208.81,0.00,0.85,7.57,8.31,100.0,78.11,79.31
Socializing,5.10,20.35,14.84,0.00,1.70,1.91,0.80,37.3,4.58,5.63
Passive Leisure,54.11,17.40,134.48,0.01,1.23,51.78,50.64,98.1,53.15,55.06
Active Leisure,2.67,17.40,6.64,0.00,0.11,0.64,1.84,23.4,2.47,2.87
Attendance Leisure,0.65,17.40,1.62,0.00,0.13,0.04,0.24,3.4,0.52,0.78
Religious Activities,1.05,23.41,3.51,0.00,0.09,0.38,0.64,9.4,0.92,1.18
Volunteering,1.07,23.41,3.59,0.00,0.05,0.29,0.51,5.6,0.90,1.24
Travel Related to Leisure,2.90,24.75,10.26,0.00,0.31,0.07,2.09,49.1,2.56,3.24
Leisure,67.56,18.13,174.93,0.02,3.63,55.10,56.76,99.4,66.73,68.38
Working at Job,0.93,20.32,2.70,0.00,0.00,0.23,0.37,2.4,0.72,1.15
Educational Activities,0.06,23.41,0.20,0.00,0.00,0.04,0.05,0.2,0.01,0.10
Commuting to Work or School,0.09,24.75,0.31,0.00,0.00,0.00,0.08,2.2,0.06,0.11
Work and Education,1.08,20.84,3.20,0.00,0.01,0.27,0.50,3.3,0.85,1.31
Total,168.00,18.61,446.62,0.03,5.74,76.81,83.31,,,
