time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,5.62,18.31,14.71,0.00,1.37,5.45,4.04,44.8,4.78,6.47
Food Cooking & Clean-up,4.32,18.40,11.34,0.00,1.41,4.19,2.67,62.5,3.92,4.71
"Pets, Home & Vehicles",1.80,20.06,5.17,0.00,0.46,1.55,1.18,22.8,1.17,2.44
Household Management,1.08,24.72,3.83,0.00,0.29,0.84,0.69,23.7,0.90,1.27
Shopping,2.94,18.13,7.61,0.00,1.30,0.09,1.22,46.8,2.63,3.25
Obtaining Services,0.17,21.87,0.54,0.00,0.04,0.03,0.11,3.3,0.07,0.28
Travel for Household Activity,2.28,24.75,8.05,0.00,0.78,0.03,1.21,50.4,1.97,2.58
Household Production,18.21,19.70,51.25,0.00,5.65,12.18,11.11,87.5,16.68,19.75
Household Children,2.12,18.05,5.46,,1.75,1.33,0.16,36.5,1.85,2.39
Household Adults,0.07,17.91,0.18,0.00,0.05,0.04,0.01,3.2,0.04,0.11
Non-Household Members,0.85,18.09,2.21,0.00,0.51,0.26,0.07,13.8,0.63,1.08
Travel for Household Members,0.92,24.75,3.24,0.00,0.51,0.01,0.37,23.5,0.74,1.10
Travel for Non-Household Members,0.48,24.75,1.69,0.00,0.22,0.00,0.17,11.2,0.38,0.58
Caring and Helping,4.44,20.16,12.78,0.00,3.03,1.65,0.78,46.1,4.00,4.87
Eating & Drinking,6.57,18.25,17.14,0.00,3.05,3.46,1.77,93.7,6.21,6.94
Personal Health Care,0.77,17.95,1.97,0.00,0.10,0.32,0.56,9.2,0.50,1.03
Grooming,6.27,18.17,16.29,0.00,,,,87.9,6.02,6.53
Sleeping,60.74,18.58,161.21,,,,,99.9,59.28,62.19
"Private, Personal, or N/A",1.71,20.56,5.01,0.00,0.38,0.62,0.80,24.1,1.36,2.05
Personal Time,76.06,18.56,201.60,0.00,3.53,4.40,3.13,100.0,74.75,77.36
Socializing,4.76,20.35,13.85,0.01,2.12,1.98,0.69,40.0,4.07,5.45
Passive Leisure,18.60,17.40,46.23,0.00,5.92,16.76,10.31,86.5,17.16,20.04
Active Leisure,1.46,17.40,3.62,0.00,0.41,0.33,0.52,15.8,1.17,1.74
Attendance Leisure,0.86,17.40,2.14,0.00,0.40,0.02,0.08,5.1,0.57,1.15
Religious Activities,0.94,23.41,3.16,0.00,0.39,0.28,0.32,8.9,0.72,1.16
Volunteering,0.88,23.41,2.94,0.00,0.15,0.13,0.16,5.3,0.61,1.15
Travel Related to Leisure,2.41,24.75,8.52,0.00,0.90,0.01,1.02,48.1,2.05,2.77
Leisure,29.92,18.83,80.46,0.01,10.29,19.51,13.11,95.0,28.57,31.26
Working at Job,34.11,23.30,113.54,0.01,0.34,3.07,4.62,62.2,32.00,36.23
Educational Activities,2.53,23.41,8.45,0.00,0.13,1.03,0.93,7.5,1.47,3.58
Commuting to Work or School,2.73,24.75,9.67,0.00,0.10,0.03,2.44,56.3,2.43,3.04
Work and Education,39.38,23.40,131.65,0.01,0.58,4.13,7.99,67.3,36.96,41.79
Total,168.00,19.91,477.75,0.02,23.08,41.86,36.12,,,
