time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,9.11,18.31,23.84,0.25,2.01,8.90,6.85,55.6,7.43,10.80
Food Cooking & Clean-up,6.53,18.40,17.16,0.33,2.12,6.29,4.31,75.3,5.77,7.29
"Pets, Home & Vehicles",3.87,20.06,11.09,0.00,1.46,3.24,2.38,36.7,2.43,5.31
Household Management,2.18,24.72,7.70,0.03,0.95,1.85,1.04,26.1,1.14,3.22
Shopping,3.92,18.13,10.16,0.24,1.76,0.16,2.01,49.8,3.08,4.76
Obtaining Services,0.20,21.87,0.64,0.00,0.08,0.02,0.11,3.8,,0.42
Travel for Household Activity,2.93,24.75,10.38,0.14,1.33,0.02,1.54,51.0,2.21,3.66
Household Production,28.76,19.71,80.98,0.99,9.70,20.48,18.24,93.4,26.25,31.27
Household Children,0.82,18.05,2.10,,0.80,0.57,0.00,3.7,,1.66
Household Adults,0.10,17.91,0.27,0.00,0.09,0.09,0.02,5.6,0.02,0.18
Non-Household Members,2.69,18.09,6.96,0.06,2.20,1.20,0.32,18.2,1.14,4.25
Travel for Household Members,0.12,24.75,0.41,0.00,0.08,0.00,0.04,3.4,0.01,0.22
Travel for Non-Household Members,0.68,24.75,2.40,0.00,0.31,0.02,0.28,13.8,0.31,1.05
Caring and Helping,4.41,19.28,12.14,0.06,3.48,1.88,0.65,23.7,2.28,6.54
Eating & Drinking,7.43,18.25,19.36,0.29,5.12,5.00,1.82,94.1,6.53,8.33
Personal Health Care,0.91,17.95,2.33,0.00,0.14,0.51,0.63,9.3,0.23,1.59
Grooming,5.36,18.17,13.91,0.19,,,,79.6,4.58,6.13
Sleeping,63.04,18.58,167.31,,,,,100.0,61.14,64.93
"Private, Personal, or N/A",4.05,20.56,11.88,0.02,1.06,2.49,1.99,32.9,2.80,5.29
Personal Time,80.77,18.61,214.79,0.50,6.33,8.00,4.45,100.0,78.27,83.28
Socializing,7.12,20.35,20.71,0.18,5.23,3.92,0.84,47.0,5.92,8.33
Passive Leisure,25.72,17.40,63.92,0.71,13.84,24.49,11.36,92.2,22.40,29.03
Active Leisure,1.70,17.40,4.22,0.05,0.69,0.41,0.74,17.3,1.11,2.29
Attendance Leisure,1.80,17.40,4.47,0.00,1.01,0.33,0.40,7.4,0.78,2.82
Religious Activities,0.67,23.41,2.25,0.01,0.30,0.22,0.28,7.3,0.38,0.97
Volunteering,1.12,23.41,3.74,0.03,0.24,0.49,0.42,6.5,0.45,1.79
Travel Related to Leisure,2.35,24.75,8.31,0.05,1.39,0.03,0.70,45.2,1.58,3.12
Leisure,40.48,18.61,107.63,1.03,22.71,29.88,14.75,98.1,36.08,44.88
Working at Job,10.59,18.59,28.11,0.03,0.13,0.70,1.75,23.0,6.41,14.76
Educational Activities,1.61,23.41,5.38,0.00,0.26,1.04,1.06,4.3,0.54,2.68
Commuting to Work or School,1.38,24.75,4.89,0.02,0.08,0.03,1.23,23.6,0.60,2.16
Work and Education,13.58,19.79,38.38,0.05,0.47,1.76,4.04,28.8,9.07,18.08
Total,168.00,18.91,453.92,2.63,42.70,62.01,42.13,,,
