time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,3.97,18.31,10.40,0.00,0.80,3.97,3.09,37.3,2.65,5.30
Food Cooking & Clean-up,5.25,18.40,13.80,0.00,2.15,5.02,3.02,68.7,4.01,6.49
"Pets, Home & Vehicles",3.35,20.06,9.61,0.00,1.86,2.72,1.36,31.6,0.81,5.90
Household Management,1.10,24.72,3.88,0.00,0.83,0.85,0.27,21.8,0.40,1.79
Shopping,3.96,18.13,10.26,0.00,2.65,0.22,0.94,53.3,2.19,5.73
Obtaining Services,0.08,21.87,0.25,0.00,0.06,0.04,0.00,3.9,,0.20
Travel for Household Activity,2.83,24.75,9.99,0.00,1.72,0.01,1.02,53.2,2.06,3.59
Household Production,20.54,19.83,58.18,0.00,10.07,12.83,9.69,86.9,16.11,24.98
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,1.09,17.91,2.79,0.00,1.03,0.21,0.04,15.8,,2.49
Non-Household Members,0.90,18.09,2.33,0.00,0.80,0.31,0.08,14.6,0.06,1.74
Travel for Household Members,0.21,24.75,0.75,0.00,0.16,0.00,0.05,8.4,0.03,0.40
Travel for Non-Household Members,0.40,24.75,1.40,0.00,0.14,0.00,0.22,10.3,0.04,0.75
Caring and Helping,2.60,19.57,7.26,0.00,2.13,0.52,0.39,26.8,0.66,4.54
Eating & Drinking,7.16,18.25,18.66,0.00,5.24,4.80,1.41,96.6,6.15,8.17
Personal Health Care,1.66,17.95,4.26,0.00,0.17,0.65,1.34,10.5,,4.12
Grooming,5.75,18.17,14.92,0.00,,,,82.9,4.55,6.95
Sleeping,65.19,18.58,173.04,,,,,100.0,58.41,71.97
"Private, Personal, or N/A",2.62,20.56,7.69,0.00,1.08,0.89,1.40,29.1,0.98,4.26
Personal Time,82.38,18.57,218.58,0.00,6.50,6.35,4.15,100.0,72.52,92.25
Socializing,5.78,20.35,16.80,0.00,4.07,2.10,0.54,45.1,3.58,7.98
Passive Leisure,19.98,17.40,49.66,0.00,11.95,18.68,7.69,86.9,16.68,23.28
Active Leisure,3.08,17.40,7.66,0.00,1.78,0.12,0.86,27.3,0.95,5.22
Attendance Leisure,1.20,17.40,2.97,0.00,0.87,0.23,0.16,5.8,0.13,2.26
Religious Activities,0.57,23.41,1.92,0.00,0.52,0.17,0.02,4.0,,1.16
Volunteering,0.73,23.41,2.44,0.00,0.10,0.04,0.06,5.6,,1.53
Travel Related to Leisure,3.73,24.75,13.18,0.00,2.41,0.03,1.16,53.9,2.70,4.75
Leisure,35.07,18.89,94.63,0.00,21.71,21.37,10.48,99.1,30.19,39.95
Working at Job,3.99,17.82,10.16,0.00,0.11,1.24,1.65,11.9,2.00,5.99
Educational Activities,21.68,23.41,72.51,0.00,2.29,11.78,13.81,52.7,15.19,28.18
Commuting to Work or School,1.73,24.75,6.13,0.00,0.22,0.00,1.49,30.1,0.85,2.62
Work and Education,27.41,22.68,88.79,0.00,2.62,13.02,16.94,59.7,20.59,34.22
Total,168.00,19.48,467.45,0.00,43.02,54.08,41.66,,,
