time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.98,18.31,7.81,1.11,1.33,2.97,1.64,28.5,2.37,3.60
Food Cooking & Clean-up,3.84,18.40,10.08,2.03,1.96,3.72,1.81,49.0,3.24,4.43
"Pets, Home & Vehicles",3.86,20.06,11.05,1.07,0.98,3.55,2.73,29.7,2.92,4.79
Household Management,1.16,24.72,4.08,0.28,0.65,0.73,0.43,18.5,0.67,1.64
Shopping,2.26,18.13,5.87,0.62,1.42,0.09,0.61,30.7,1.80,2.73
Obtaining Services,0.44,21.87,1.36,0.02,0.03,0.37,0.07,2.5,,1.07
Travel for Household Activity,1.50,24.75,5.29,0.42,0.88,0.00,0.53,34.7,1.25,1.74
Household Production,16.03,19.89,45.54,5.55,7.26,11.42,7.82,78.3,14.47,17.58
Household Children,5.74,18.05,14.79,,5.42,4.66,0.21,45.7,4.83,6.64
Household Adults,0.48,17.91,1.22,0.09,0.41,0.18,0.07,12.1,0.24,0.71
Non-Household Members,0.77,18.09,1.98,0.08,0.47,0.23,0.11,6.5,0.30,1.23
Travel for Household Members,1.34,24.75,4.75,0.16,0.93,0.02,0.39,27.4,1.00,1.68
Travel for Non-Household Members,0.21,24.75,0.73,0.02,0.09,0.00,0.09,5.6,0.12,0.30
Caring and Helping,8.53,19.27,23.48,0.35,7.32,5.09,0.87,53.1,7.28,9.78
Eating & Drinking,7.01,18.25,18.28,2.88,5.38,5.95,1.40,94.8,6.49,7.54
Personal Health Care,3.60,17.95,9.22,0.89,1.61,2.70,1.82,26.9,2.64,4.56
Grooming,3.23,18.17,8.39,0.73,,,,61.3,2.74,3.72
Sleeping,65.49,18.58,173.82,,,,,99.5,63.80,67.18
"Private, Personal, or N/A",2.37,20.56,6.97,0.66,0.90,1.00,0.75,24.9,1.54,3.21
Personal Time,81.70,18.56,216.69,5.16,7.89,9.65,3.97,100.0,79.57,83.84
Socializing,6.98,20.35,20.29,2.44,5.81,3.50,0.28,41.4,5.49,8.47
Passive Leisure,44.47,17.40,110.54,14.78,25.85,43.30,18.29,95.3,41.18,47.77
Active Leisure,1.75,17.40,4.36,0.46,0.86,0.47,0.63,16.0,0.71,2.79
Attendance Leisure,0.45,17.40,1.12,0.09,0.27,0.10,0.14,2.7,0.18,0.72
Religious Activities,1.13,23.41,3.78,0.50,0.79,0.39,0.30,9.2,0.73,1.53
Volunteering,0.37,23.41,1.23,0.18,0.21,0.08,0.04,2.3,0.20,0.54
Travel Related to Leisure,2.23,24.75,7.87,0.58,1.43,0.03,0.58,35.9,1.71,2.74
Leisure,57.38,18.20,149.18,19.02,35.21,47.86,20.25,98.0,54.01,60.75
Working at Job,3.73,23.78,12.67,0.12,0.25,0.36,0.83,7.4,1.68,5.78
Educational Activities,0.23,23.41,0.78,0.03,0.00,0.16,0.23,0.8,0.04,0.43
Commuting to Work or School,0.39,24.75,1.38,0.00,0.02,0.00,0.36,7.3,0.19,0.59
Work and Education,4.35,23.85,14.83,0.15,0.28,0.52,1.42,8.4,2.11,6.59
Total,168.00,18.74,449.72,30.25,57.97,74.54,34.32,,,
