time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,7.31,18.31,19.12,4.19,3.17,7.02,3.82,52.8,4.81,9.81
Food Cooking & Clean-up,6.63,18.40,17.42,4.85,3.12,6.26,2.94,66.0,5.18,8.08
"Pets, Home & Vehicles",0.82,20.06,2.34,0.43,0.29,0.71,0.53,14.1,0.24,1.39
Household Management,0.96,24.72,3.40,0.46,0.42,0.50,0.37,17.8,0.50,1.43
Shopping,2.50,18.13,6.46,1.23,1.55,0.05,0.67,41.8,1.89,3.10
Obtaining Services,0.08,21.87,0.25,0.00,0.00,0.01,0.01,2.8,,0.19
Travel for Household Activity,2.23,24.75,7.89,0.97,1.29,0.00,0.69,46.6,1.58,2.89
Household Production,20.53,19.40,56.89,12.14,9.85,14.54,9.02,83.2,16.55,24.50
Household Children,10.57,18.05,27.25,,10.18,8.74,0.25,67.4,8.32,12.81
Household Adults,0.10,17.91,0.26,0.04,0.08,0.03,0.01,6.6,0.03,0.18
Non-Household Members,1.35,18.09,3.50,0.81,0.89,0.04,0.29,15.7,0.15,2.56
Travel for Household Members,1.56,24.75,5.53,0.08,0.89,0.05,0.49,36.0,1.08,2.05
Travel for Non-Household Members,0.91,24.75,3.24,0.45,0.73,0.01,0.07,15.4,0.13,1.70
Caring and Helping,14.50,19.20,39.78,1.39,12.78,8.86,1.10,70.9,12.10,16.91
Eating & Drinking,5.51,18.25,14.35,3.35,3.90,3.55,0.87,93.3,4.64,6.37
Personal Health Care,0.70,17.95,1.79,0.36,0.25,0.27,0.33,8.2,0.26,1.13
Grooming,5.37,18.17,13.94,1.83,,,,76.8,4.41,6.33
Sleeping,65.27,18.58,173.24,,,,,99.8,59.30,71.25
"Private, Personal, or N/A",2.68,20.56,7.86,1.21,0.72,1.15,1.17,28.8,1.61,3.74
Personal Time,79.52,18.59,211.18,6.74,4.87,4.97,2.37,100.0,72.96,86.08
Socializing,5.08,20.35,14.76,2.00,3.11,1.61,0.63,37.5,2.74,7.41
Passive Leisure,23.66,17.40,58.81,11.52,11.85,21.89,9.23,90.0,20.61,26.72
Active Leisure,0.90,17.40,2.24,0.37,0.39,0.37,0.35,8.9,0.15,1.66
Attendance Leisure,0.87,17.40,2.17,0.30,0.30,0.04,0.14,4.6,,1.80
Religious Activities,1.34,23.41,4.48,0.71,1.11,0.18,0.13,7.3,0.22,2.45
Volunteering,0.81,23.41,2.70,0.49,0.45,0.33,0.06,2.2,,1.72
Travel Related to Leisure,2.40,24.75,8.50,1.08,1.25,0.01,0.54,48.8,1.52,3.29
Leisure,35.07,18.70,93.66,16.49,18.47,24.43,11.08,96.4,30.41,39.72
Working at Job,11.78,15.73,26.48,0.18,0.16,0.35,0.82,23.0,3.46,20.11
Educational Activities,5.41,23.41,18.08,0.62,0.32,2.07,2.20,14.0,2.32,8.50
Commuting to Work or School,1.19,24.75,4.22,0.08,0.11,0.03,1.01,30.4,0.65,1.74
Work and Education,18.39,18.57,48.78,0.87,0.59,2.44,4.03,39.7,10.91,25.86
Total,168.00,18.76,450.30,37.62,46.56,55.24,27.61,,,
