time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,3.60,18.31,9.42,0.00,0.73,3.26,2.75,30.4,2.05,5.15
Food Cooking & Clean-up,3.16,18.40,8.30,0.00,1.05,2.92,1.63,42.6,2.28,4.03
"Pets, Home & Vehicles",1.22,20.06,3.48,0.00,0.53,1.06,0.59,21.9,0.72,1.71
Household Management,0.61,24.72,2.16,0.00,0.15,0.36,0.38,23.4,0.13,1.10
Shopping,2.71,18.13,7.03,0.00,0.95,0.05,0.80,50.6,1.97,3.46
Obtaining Services,0.16,21.87,0.50,0.00,0.03,0.06,0.12,5.3,,0.32
Travel for Household Activity,2.35,24.75,8.31,0.00,0.65,0.03,0.91,54.9,1.78,2.91
Household Production,13.81,19.87,39.20,0.00,4.09,7.73,7.17,78.7,11.63,15.98
Household Children,1.15,18.05,2.96,,0.85,0.84,0.19,17.6,0.51,1.79
Household Adults,0.17,17.91,0.44,0.00,0.16,0.12,0.00,2.7,,0.41
Non-Household Members,1.96,18.09,5.07,0.00,1.48,0.88,0.25,20.4,0.87,3.06
Travel for Household Members,0.44,24.75,1.56,0.00,0.22,0.00,0.17,13.0,0.21,0.67
Travel for Non-Household Members,0.65,24.75,2.29,0.00,0.19,0.00,0.18,17.0,0.34,0.95
Caring and Helping,4.37,19.73,12.33,0.00,2.88,1.84,0.79,36.1,2.73,6.01
Eating & Drinking,5.61,18.25,14.62,0.00,2.67,3.65,1.32,93.7,4.87,6.34
Personal Health Care,0.93,17.95,2.40,0.00,0.05,0.41,0.72,9.9,0.20,1.66
Grooming,6.36,18.17,16.51,0.00,,,,87.0,5.42,7.30
Sleeping,68.57,18.58,182.01,,,,,100.0,63.85,73.30
"Private, Personal, or N/A",5.76,20.56,16.92,0.00,0.35,3.89,4.04,35.4,3.41,8.11
Personal Time,87.24,18.65,232.45,0.00,3.06,7.95,6.08,100.0,81.47,93.00
Socializing,6.86,20.35,19.95,0.00,1.71,3.29,1.87,52.9,5.33,8.40
Passive Leisure,25.70,17.40,63.88,0.00,4.78,21.65,14.00,92.2,22.77,28.63
Active Leisure,2.35,17.40,5.83,0.00,0.45,0.58,0.71,18.2,1.25,3.45
Attendance Leisure,1.87,17.40,4.64,0.00,1.31,0.07,0.03,7.7,0.09,3.65
Religious Activities,0.71,23.41,2.39,0.00,0.20,0.07,0.14,5.7,0.32,1.11
Volunteering,0.70,23.41,2.32,0.00,0.08,0.13,0.35,5.7,0.09,1.30
Travel Related to Leisure,2.71,24.75,9.60,0.00,0.93,0.03,0.61,52.5,1.74,3.69
Leisure,40.90,18.59,108.60,0.00,9.45,25.82,17.71,97.3,37.42,44.37
Working at Job,8.05,14.29,16.43,0.00,0.00,0.41,1.59,19.6,5.41,10.69
Educational Activities,11.91,23.41,39.84,0.00,0.65,3.00,2.86,29.3,7.43,16.40
Commuting to Work or School,1.72,24.75,6.08,0.00,0.12,0.02,1.16,38.2,1.08,2.36
Work and Education,21.68,20.13,62.36,0.00,0.77,3.43,5.60,49.3,16.25,27.11
Total,168.00,18.96,454.94,0.00,20.26,46.77,37.35,,,
