time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,9.27,18.31,24.26,5.04,4.38,8.97,4.72,61.3,7.59,10.96
Food Cooking & Clean-up,9.31,18.40,24.46,6.02,4.56,9.15,4.53,85.0,8.55,10.07
"Pets, Home & Vehicles",1.73,20.06,4.96,0.90,0.93,1.45,0.77,20.3,1.22,2.25
Household Management,0.99,24.72,3.48,0.46,0.51,0.72,0.43,21.2,0.76,1.21
Shopping,3.41,18.13,8.83,1.66,2.33,0.04,0.94,43.6,2.59,4.23
Obtaining Services,0.09,21.87,0.30,0.01,0.05,0.06,0.01,2.5,,0.19
Travel for Household Activity,2.31,24.75,8.17,1.12,1.61,0.01,0.65,46.3,1.83,2.79
Household Production,27.11,19.22,74.47,15.21,14.37,20.41,12.06,95.3,24.38,29.85
Household Children,11.42,18.05,29.45,,10.95,9.50,0.32,71.5,10.18,12.66
Household Adults,0.26,17.91,0.67,0.08,0.22,0.15,0.02,6.2,0.11,0.42
Non-Household Members,0.65,18.09,1.69,0.21,0.51,0.24,0.02,10.5,0.34,0.97
Travel for Household Members,1.53,24.75,5.41,0.08,1.07,0.03,0.44,34.4,1.27,1.79
Travel for Non-Household Members,0.26,24.75,0.92,0.07,0.15,0.00,0.07,7.9,0.15,0.37
Caring and Helping,14.12,18.90,38.14,0.44,12.91,9.92,0.88,75.3,12.86,15.39
Eating & Drinking,7.58,18.25,19.75,4.50,6.27,5.52,0.87,94.6,7.10,8.06
Personal Health Care,0.68,17.95,1.74,0.17,0.24,0.32,0.37,7.0,0.32,1.04
Grooming,4.17,18.17,10.82,1.66,,,,73.2,3.78,4.55
Sleeping,63.86,18.58,169.49,,,,,99.9,62.63,65.08
"Private, Personal, or N/A",3.14,20.56,9.23,1.10,1.10,1.42,1.19,32.1,2.40,3.89
Personal Time,79.43,18.60,211.04,7.43,7.60,7.26,2.43,100.0,77.70,81.15
Socializing,5.46,20.35,15.87,3.20,4.60,2.11,0.28,41.1,4.60,6.32
Passive Leisure,20.68,17.40,51.40,10.18,14.56,19.92,5.77,87.8,19.24,22.13
Active Leisure,1.46,17.40,3.64,0.88,1.03,0.50,0.33,14.0,1.14,1.78
Attendance Leisure,0.84,17.40,2.09,0.42,0.73,0.02,0.05,4.0,0.33,1.34
Religious Activities,1.02,23.41,3.41,0.54,0.79,0.31,0.14,9.1,0.76,1.27
Volunteering,0.55,23.41,1.85,0.22,0.26,0.17,0.12,5.6,0.37,0.74
Travel Related to Leisure,2.35,24.75,8.30,1.10,1.64,0.02,0.46,42.7,1.89,2.80
Leisure,32.36,18.72,86.55,16.54,23.60,23.05,7.15,95.5,30.51,34.21
Working at Job,11.95,19.24,32.84,0.99,0.63,1.55,2.32,24.9,8.18,15.71
Educational Activities,1.73,23.41,5.79,0.47,0.39,1.08,0.88,4.9,1.00,2.47
Commuting to Work or School,1.29,24.75,4.57,0.09,0.26,0.01,0.84,23.4,0.92,1.67
Work and Education,14.97,20.20,43.20,1.55,1.28,2.64,4.04,30.9,11.22,18.72
Total,168.00,18.89,453.40,41.18,59.77,63.27,26.57,,,
