time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.66,18.31,6.95,0.02,0.10,2.51,2.26,31.8,1.92,3.40
Food Cooking & Clean-up,2.65,18.40,6.97,0.00,0.25,2.55,2.22,46.3,1.99,3.31
"Pets, Home & Vehicles",1.90,20.06,5.44,0.00,0.03,1.52,1.78,15.2,1.07,2.73
Household Management,0.66,24.72,2.33,0.00,0.05,0.38,0.48,17.3,0.32,1.00
Shopping,1.65,18.13,4.28,0.01,0.50,0.06,0.66,33.4,1.19,2.11
Obtaining Services,0.15,21.87,0.47,0.00,0.09,0.04,0.03,3.9,,0.33
Travel for Household Activity,1.81,24.75,6.40,0.02,0.41,0.02,1.07,33.7,1.30,2.32
Household Production,11.48,20.03,32.84,0.04,1.42,7.08,8.50,73.9,9.35,13.61
Household Children,0.09,18.05,0.24,,0.09,0.09,0.00,0.3,,0.29
Household Adults,0.00,17.91,0.00,0.00,0.00,0.00,0.00,0.0,,
Non-Household Members,1.49,18.09,3.85,0.00,0.89,0.22,0.05,13.1,0.57,2.41
Travel for Household Members,0.00,24.75,0.00,0.00,0.00,0.00,0.00,0.0,,
Travel for Non-Household Members,0.55,24.75,1.96,0.00,0.13,0.01,0.29,10.0,0.29,0.82
Caring and Helping,2.14,19.81,6.05,0.00,1.12,0.33,0.33,13.4,1.14,3.14
Eating & Drinking,6.40,18.25,16.70,0.03,1.01,4.59,4.28,92.1,5.27,7.54
Personal Health Care,2.68,17.95,6.88,0.00,0.16,1.66,1.77,25.8,1.33,4.03
Grooming,3.40,18.17,8.83,0.01,,,,63.2,2.91,3.89
Sleeping,71.14,18.58,188.82,,,,,99.6,68.18,74.10
"Private, Personal, or N/A",2.75,20.56,8.09,0.00,0.16,0.24,0.82,23.6,1.34,4.17
Personal Time,86.38,18.58,229.32,0.04,1.33,6.49,6.87,100.0,82.59,90.18
Socializing,7.64,20.35,22.22,0.07,3.08,2.83,1.04,41.9,5.63,9.65
Passive Leisure,49.47,17.40,122.95,0.06,3.15,45.25,41.46,96.4,45.90,53.04
Active Leisure,2.87,17.40,7.14,0.06,0.86,0.42,1.48,19.2,1.46,4.28
Attendance Leisure,0.56,17.40,1.39,0.10,0.25,0.05,0.05,3.2,0.20,0.92
Religious Activities,0.86,23.41,2.88,0.00,0.01,0.50,0.56,5.4,0.17,1.55
Volunteering,0.86,23.41,2.88,0.00,0.05,0.10,0.31,3.3,,1.73
Travel Related to Leisure,2.51,24.75,8.86,0.01,0.54,0.01,1.45,47.0,1.89,3.12
Leisure,64.77,18.19,168.31,0.29,7.93,49.16,46.35,99.8,61.55,67.99
Working at Job,2.14,0.00,0.00,0.00,0.46,0.39,0.33,4.5,0.50,3.78
Educational Activities,0.47,23.41,1.56,0.00,0.00,0.25,0.44,1.6,0.01,0.92
Commuting to Work or School,0.62,24.75,2.19,0.00,0.12,0.00,0.41,6.7,0.25,0.98
Work and Education,3.23,8.12,3.75,0.00,0.58,0.65,1.18,8.3,1.35,5.11
Total,168.00,18.34,440.27,0.37,12.38,63.70,63.24,,,
