state,area,adjustment_pct,is_state_total
Washington,Western Washington nonmetropolitan area,115.57,
Washington,Hill Country Region of Texas nonmetropolitan            Eastern Washington nonmetropolitan area,113.51,
Washington,area,82.97,
West Virginia,West Virginia,81.89,yes
West Virginia,Border Region of Texas nonmetropolitan area,82.30,
West Virginia,"Beckley, WV",77.94,
West Virginia,"Coastal Plains Region of Texas                          Charleston, WV",79.30,
West Virginia,nonmetropolitan area,80.64,
West Virginia,"Cumberland, MD-WV",92.60,
Utah,Utah,96.48,yes
Utah,"Hagerstown-Martinsburg, MD-WV",94.59,
Utah,"Logan, UT-ID",87.74,
Utah,"Huntington-Ashland, WV-KY-OH",81.37,
Utah,"Ogden-Clearfield, UT",94.48,
Utah,"Morgantown, WV",83.44,
Utah,"Provo-Orem, UT",93.94,
Utah,"Parkersburg-Vienna, WV",79.63,
Utah,"St. George, UT",92.45,
Utah,"Salt Lake City, UT",100.35,
Utah,WV,113.38,
Utah,Eastern Utah nonmetropolitan area,96.68,
Utah,"Weirton-Steubenville, WV-OH",84.56,
Utah,Central Utah nonmetropolitan area,90.50,
Utah,"Wheeling, WV-OH",82.91,
Vermont,Vermont,110.21,yes
Vermont,"Winchester, VA-WV",92.50,
Vermont,"Burlington-South Burlington, VT",112.07,
Vermont,Southern West Virginia nonmetropolitan area,79.24,
Vermont,Southern Vermont nonmetropolitan area,110.42,
Vermont,Northern West Virginia nonmetropolitan area,79.82,
Vermont,Northern Vermont nonmetropolitan area,110.40,
Vermont,Virgin Islands,94.17,
Wisconsin,Wisconsin,94.50,yes
Wisconsin,"Appleton, WI",94.76,
Wisconsin,"Chicago-Naperville-Elgin, IL-IN-WI",105.51,
Wisconsin,"Duluth, MN-WI",96.53,
Wisconsin,"Eau Claire, WI",92.54,
Wisconsin,"Fond du Lac, WI",92.59,
Wisconsin,"Green Bay, WI",93.25,
Wisconsin,"Janesville-Beloit, WI",92.35,
Wisconsin,"La Crosse-Onalaska, WI-MN",93.89,
Wisconsin,"Madison, WI",97.99,
Wisconsin,"Milwaukee-Waukesha-West Allis, WI",95.88,
Wisconsin,"Minneapolis-St. Paul-Bloomington, MN-WI",105.70,
Wisconsin,"Oshkosh-Neenah, WI",91.87,
Wisconsin,"Racine, WI",91.75,
Wisconsin,"Sheboygan, WI",92.82,
Wisconsin,"Wausau, WI",93.13,
Wisconsin,area,92.32,
Wisconsin,Northeastern Wisconsin nonmetropolitan area,90.00,
Wisconsin,South Central Wisconsin nonmetropolitan area,92.02,
Wisconsin,Western Wisconsin nonmetropolitan area,92.69,
Wyoming,Wyoming,94.51,yes
Wyoming,"Casper, WY",93.33,
Wyoming,"Cheyenne, WY",91.75,
Wyoming,Western Wyoming nonmetropolitan area,97.37,
Wyoming,Eastern Wyoming nonmetropolitan area,92.98,
