time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.22,18.31,5.80,1.13,1.63,1.98,0.59,23.3,1.41,3.03
Food Cooking & Clean-up,2.24,18.40,5.88,1.23,1.60,2.23,0.61,41.6,1.74,2.73
"Pets, Home & Vehicles",4.80,20.06,13.77,1.56,2.06,4.43,2.58,27.4,3.19,6.42
Household Management,0.83,24.72,2.92,0.47,0.64,0.31,0.19,15.4,0.30,1.35
Shopping,2.78,18.13,7.21,1.67,2.18,0.13,0.48,40.6,2.03,3.53
Obtaining Services,0.15,21.87,0.47,0.02,0.02,0.05,0.10,1.7,,0.33
Travel for Household Activity,3.16,24.75,11.18,1.04,1.58,0.04,1.48,44.2,1.12,5.20
Household Production,16.18,20.43,47.23,7.12,9.71,9.16,6.02,75.7,13.34,19.03
Household Children,6.84,18.05,17.65,,6.75,5.45,0.04,51.8,5.43,8.26
Household Adults,0.30,17.91,0.76,0.16,0.20,0.23,0.00,5.7,,0.59
Non-Household Members,0.54,18.09,1.39,0.09,0.34,0.07,0.11,4.7,0.17,0.90
Travel for Household Members,0.88,24.75,3.12,0.04,0.57,0.13,0.28,21.5,0.45,1.32
Travel for Non-Household Members,0.23,24.75,0.81,0.04,0.12,0.00,0.09,4.8,0.10,0.35
Caring and Helping,8.79,18.90,23.72,0.31,7.97,5.88,0.53,56.2,7.10,10.48
Eating & Drinking,7.60,18.25,19.82,3.32,5.88,5.51,0.96,94.4,6.83,8.38
Personal Health Care,0.77,17.95,1.98,0.10,0.19,0.17,0.54,5.0,,1.58
Grooming,3.56,18.17,9.23,1.11,,,,73.7,3.05,4.06
Sleeping,62.75,18.58,166.56,,,,,98.7,60.24,65.27
"Private, Personal, or N/A",2.53,20.56,7.43,0.87,1.07,1.32,0.82,28.5,1.72,3.34
Personal Time,77.21,18.59,205.02,5.41,7.14,7.00,2.33,100.0,74.38,80.05
Socializing,5.40,20.35,15.70,3.01,4.48,2.15,0.22,38.8,3.32,7.49
Passive Leisure,23.29,17.40,57.90,10.11,18.13,22.49,4.55,88.2,20.43,26.16
Active Leisure,1.42,17.40,3.53,0.71,0.92,0.24,0.40,8.3,0.64,2.20
Attendance Leisure,0.74,17.40,1.83,0.37,0.69,0.04,0.00,4.1,0.26,1.22
Religious Activities,1.52,23.41,5.08,0.69,0.90,0.36,0.53,10.3,0.67,2.38
Volunteering,0.50,23.41,1.68,0.17,0.38,0.12,0.03,2.7,0.15,0.85
Travel Related to Leisure,2.86,24.75,10.11,0.92,1.53,0.04,1.22,44.6,1.49,4.23
Leisure,35.74,18.77,95.83,15.99,27.03,25.44,6.94,97.9,32.26,39.21
Working at Job,25.41,18.02,65.42,0.65,0.97,1.83,4.37,54.9,21.78,29.04
Educational Activities,1.54,23.41,5.17,0.15,0.11,0.40,0.74,2.6,0.32,2.77
Commuting to Work or School,3.13,24.75,11.06,0.12,0.19,0.02,2.27,50.1,2.46,3.79
Work and Education,30.08,19.00,81.65,0.91,1.27,2.25,7.38,56.7,25.85,34.32
Total,168.00,18.89,453.45,29.74,53.11,49.73,23.20,,,
