time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,9.25,18.31,24.20,0.05,1.58,8.99,7.09,56.3,7.06,11.45
Food Cooking & Clean-up,7.12,18.40,18.70,0.08,1.74,7.07,5.33,71.4,6.15,8.08
"Pets, Home & Vehicles",2.69,20.06,7.71,0.00,0.58,2.05,2.02,33.6,1.97,3.41
Household Management,1.36,24.72,4.81,0.00,0.24,1.23,1.08,26.5,0.98,1.74
Shopping,2.34,18.13,6.07,0.00,0.94,0.19,0.82,30.4,1.44,3.24
Obtaining Services,0.08,21.87,0.25,0.00,0.01,0.08,0.06,2.6,,0.17
Travel for Household Activity,1.73,24.75,6.12,0.00,0.94,0.00,0.52,34.7,1.22,2.24
Household Production,24.57,19.33,67.86,0.13,6.04,19.60,16.94,88.5,21.79,27.36
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.22,17.91,0.57,0.00,0.13,0.15,0.07,8.3,0.06,0.39
Non-Household Members,2.31,18.09,5.97,0.00,1.74,0.60,0.31,16.5,0.94,3.68
Travel for Household Members,0.14,24.75,0.48,0.00,0.10,0.00,0.03,3.6,,0.27
Travel for Non-Household Members,0.52,24.75,1.84,0.00,0.41,0.00,0.10,12.2,0.19,0.85
Caring and Helping,3.19,19.45,8.86,0.00,2.38,0.75,0.51,23.8,1.63,4.75
Eating & Drinking,7.11,18.25,18.52,0.02,4.65,5.93,2.19,96.7,6.34,7.87
Personal Health Care,5.62,17.95,14.40,0.00,1.41,4.51,3.71,40.7,3.79,7.44
Grooming,4.58,18.17,11.89,0.00,,,,74.2,3.83,5.34
Sleeping,66.27,18.58,175.90,,,,,99.8,64.07,68.48
"Private, Personal, or N/A",2.13,20.56,6.26,0.00,0.48,0.64,0.72,27.6,1.38,2.88
Personal Time,85.70,18.54,226.97,0.02,6.54,11.07,6.62,100.0,82.61,88.80
Socializing,6.31,20.35,18.34,0.00,4.23,4.17,1.37,47.8,5.03,7.59
Passive Leisure,42.48,17.40,105.59,0.10,16.39,41.42,25.36,96.3,39.17,45.79
Active Leisure,0.80,17.40,1.98,0.00,0.29,0.33,0.47,9.3,0.37,1.23
Attendance Leisure,0.26,17.40,0.65,0.00,0.11,0.11,0.11,1.8,,0.53
Religious Activities,1.33,23.41,4.43,0.00,0.57,0.71,0.64,12.2,0.75,1.90
Volunteering,0.82,23.41,2.74,0.00,0.29,0.35,0.28,6.2,0.27,1.37
Travel Related to Leisure,1.73,24.75,6.11,0.00,1.10,0.01,0.46,33.1,1.26,2.20
Leisure,53.73,18.22,139.85,0.10,22.98,47.11,28.70,98.6,50.09,57.36
Working at Job,0.71,0.00,0.00,0.00,0.00,0.21,0.30,2.3,0.03,1.38
Educational Activities,0.00,23.41,0.00,0.00,0.00,0.00,0.00,0.0,,
Commuting to Work or School,0.10,24.75,0.36,0.00,0.03,0.00,0.03,2.0,,0.21
Work and Education,0.81,3.09,0.36,0.00,0.03,0.21,0.33,2.9,0.09,1.52
Total,168.00,18.50,443.90,0.25,37.96,78.73,53.10,,,
